Ticker,EPS,PE,PEG,PS,PB,VEBITDA,Dividend Yield,Beta,Book Value,Industry
HIBB,3.3,16.448484,1.34,0.6644706,2.4139464,6.46,,1.67647,373215882.2,Specialty Retail
MCK,13.031,14.197681,1.11,0.12684333,5.043481,9.9,0.0091,0.936449,5946901228.0,Medical Distribution
MAR,0.538,228.43867,54.39,13.313429,174.07933,44.305,,1.828256,228978392.0,Lodging
JBSS3.SA,1.132,21.651945,,0.25464147,1.6502827,5.218,0.022,0.380326,38771592272.896,Packaged Foods
H,-1.761,-28.882114,-4.01,5.6736817,2.1455534,1463.426,,1.530462,1274232085.0,Lodging
IHG,-0.718,26.23077,,4.4316654,,33.586,,0.920441,-1617784191.9999998,Lodging
KLBN11.SA,-0.598,16.801168,,11.181195,59.979122,48.528,0.003,0.459976,2521087147.008,Paper & Paper Products
IOSP,1.511,63.93779,4.89,1.865408,2.5657983,16.131,0.0108,1.334033,925506974.6999999,Specialty Chemicals
KMX,4.551,26.068995,4.31,0.9698775,4.685069,27.258,,1.760504,4116025540.416,Auto & Truck Dealerships
HAS,2.82,34.56738,3.1,2.583471,4.8157296,18.863,0.0279,0.890231,2773781663.9360003,Leisure
JMAT.L,52.8,56.723484,,0.39329034,213.62338,11.823,0.0173,1.28907,2713332547.84,Specialty Chemicals
LCII,5.492,25.644573,1.14,1.3746462,4.0461965,14.476,0.0209,1.614495,875567393.6,Recreational Vehicles
IMAX,-1.746,65.96428,-0.27,5.295707,2.725797,-29.287,,1.856092,398843491.2,Entertainment
JUBLFOOD.NS,10.375,264.69397,,11.37929,32.244884,80.559,0.004,1.082437,11239403823.0,Restaurants
JPM,8.88,15.066441,10.13,3.9973276,1.6365548,,0.0269,1.221113,249291504632.06403,Banks—Diversified
MANH,1.299,91.00077,4.81,12.680201,39.949306,61.475,,1.931722,187974617.6,Software—Application
HSY,5.697,26.01369,3.09,3.8402188,14.930486,16.981,0.0217,0.305672,1464382780.0,Confectioners
GILD,1.007,66.47468,5.92,3.625148,4.807872,13.909,0.040599998,0.525735,17452897967.232,Drug Manufacturers—General
GOGO,-3.336,-30.675001,-0.3,1.2999144,,14.304,,1.478466,-647301731.4,Telecom Services
GMED,0.934,69.93576,4.68,8.400284,4.5477962,36.49,,1.018382,1095058100.8,Medical Devices
HOG,0.725,57.034477,105.12,1.4400077,3.534188,34.821,0.0019,1.573004,1793364393.6,Recreational Vehicles
JRJC,-3.624,,,0.59534335,1.0393872,,,1.569852,22319514.400000002,Capital Markets
LREN3.SA,1.591,25.782528,,4.2572856,6.148082,32.83,0.0094,0.91119,5290975850.495999,Department Stores
GNDI3.SA,1.177,82.871704,,5.7597136,8.366787,33.204,0.0017,0.955319,7105305902.207999,Healthcare Plans
GGBR4.SA,0.828,30.62802,,1.0197635,1.3796105,11.08,0.014199999,2.025886,20757504977.664,Steel
HMC,5.794,4.7618227,,,0.6398868,,0.026300002,1.097548,74446245439.616,Auto Manufacturers
MCO,9.605,27.76679,2.53,9.425341,33.46299,20.289,0.0084,1.172794,1496766000.0,Financial Data & Stock Exchanges
ITSA4.SA,0.814,13.366094,,17.091782,1.6792715,92.873,0.0072000003,1.169653,35770429212.672,Banks—Regional
IRBR3.SA,0.322,21.490685,,0.80771893,1.7816684,8,0.0295,1.036855,4875895795.712,Insurance—Reinsurance
LULU,4.261,81.28843,4.28,11.092669,20.87195,48.04,,1.225315,2076416184.9999998,Apparel Retail
GOOS,0.683,46.85212,2.74,,16.640665,,,1.527661,113731219.8,Apparel Manufacturing
KALU,0.776,128.3634,-14.14,1.2407856,2.1786964,10.83,0.0286,1.240021,722933784.0,Aluminum
LAME4.SA,0.353,70.169975,,2.0754476,3.6920555,21.285,0.009,0.898845,8150093200.0,Department Stores
ICE,3.628,30.848951,2.28,11.092866,3.300891,22.93,0.0107,0.681722,19030894219.008,Financial Data & Stock Exchanges
KSU,6.54,33.269115,2.57,7.736016,4.568993,,0.0081,,4457401793.6,Railroads
