Ticker,EPS,PE,PEG,PS,PB,VEBITDA,Dividend Yield,Beta,Book Value,Industry
CU.TO,1.49,21.550335,-9.32,2.6740358,1.704081,11.922,0.0548,0.539933,3764869086.0,Utilities—Diversified
COOP,6.079,4.918572,0.16,1.0779852,1.1608945,17.547,,1.561449,2340025321.6,Mortgage Finance
CAR,-6.333,2052.5,3.11,0.46070278,,151.729,,2.310399,-75954906.0,Rental & Leasing Services
CAKE,-4.363,31.849623,7.67,0.9096621,5.970402,115.595,,1.705882,323419189.5,Restaurants
CPB,5.825,7.9965672,1.75,1.5948439,5.096838,11.711,0.0318,0.505777,2768614281.888,Packaged Foods
CAAS,-0.001,19.5,-13.82,0.5594927,0.7386364,14.577,,3.261029,293215507.2,Auto Parts
BYD,-1.708,24.434147,-19.76,2.3516917,5.3520675,20.323,,2.23897,1043902860.0,Resorts & Casinos
EXPN.L,72,36.61111,,4.675987,953.34534,18.106,0.0139,0.230847,2536282031.36,Consulting Services
DG,10.101,20.414812,1.13,1.554993,7.2323937,15.586,0.0069999998,0.515756,6985468283.904,Discount Stores
CSNA3.SA,0.804,42.26368,,1.7353382,9.384148,14.419,0.0091,1.761847,4997378136.192,Steel
ELET6.SA,4.67,6.5481796,,1.436018,0.6324454,5.43,0.0585,0.853046,13535706845.184,Utilities—Regulated Electric
EMN,3.462,30.681688,4.68,1.6944666,2.3677583,12.365,0.025999999,1.548844,6077229948.0,Chemicals
CTSH,2.698,29.859154,9.02,2.5710766,3.897813,13.399,0.0109,1.121848,11049960022.656,Information Technology Services
CHNR,-0.234,,,,,,,1.490546,-3976607.7,Other Industrial Metals & Mining
ENGH.TO,1.77,35.683617,4.19,6.93924,7.0436044,23.268,0.0085,0.889768,495739698.3,Software—Application
CCL,-10.6,-5.7606835,0.06,2.158488,0.8885178,-56.062,,2.27731,20966980258.112,Travel Services
CCRO3.SA,0.326,38.374233,,2.5121944,3.159091,8.75,0.0295,0.821983,7999200000.0,Infrastructure Operations
CYD,3.412,5.108441,3.66,,0.56128037,,0.048800003,1.303046,1268813648.2,Specialty Industrial Machinery
CIEL3.SA,0.165,21.878786,,0.87285686,1.0674157,9.723,0.0238,1.126244,9155581570.56,Software—Infrastructure
CEA,1.55,13.180646,,,0.6720395,,0.0171,0.835523,9958736486.4,Airlines
DSCV.L,13.3,53.834587,,1.4161049,306.901,17.569,0.0085,0.735955,208700624.032,Electronic Components
EMBR3.SA,-6.081,5.4125,,0.8909614,0.40356028,276.013,,0.607726,15797536235.328,Aerospace & Defense
FE,1.341,23.31842,-1.87,1.5805115,2.3603563,16.181,0.0499,0.186974,7188232531.967999,Utilities—Diversified
CLIG.L,29.5,16.271187,,7.313179,631.579,8.091,,0.786006,38516116.0,Asset Management
EZJ.L,-265.1,0.06167338,,1.1855572,186.97005,-8.975,,2.37334,1907975000.0,Airlines
DFS,3.596,25.659065,1.9,3.5856822,2.6026006,,0.0191,1.796218,10884071000.0,Credit Services
CL,3.13,24.980831,3.61,4.1468906,102.61155,17.033,0.0225,0.579306,653162796.288,Household & Personal Products
CLW,3.396,12.179034,1.52,0.37026283,1.3813373,6.255,,1.481092,496234754.4,Paper & Paper Products
EGIE3.SA,2.922,14.828885,,3.114033,4.948607,8.995,0.0049,0.561131,7144265568.0,Utilities—Regulated Electric
CMIG4.SA,1.337,10.321615,,0.8868369,1.2111638,6.479,0.0207,1.053763,11513864880.0,Utilities—Diversified
CJT.TO,-4.743,33.889805,,5.17434,16.149385,18.715,0.0045,0.767656,199003398.9,Integrated Freight & Logistics
CWB.TO,2.856,10.388656,2.02,3.20937,0.8785384,,0.039100002,1.889108,2941534445.6,Banks—Regional
ELET3.SA,4.67,6.4753747,,1.4360179,0.6254136,5.398,0.0537,0.853046,62317988585.47199,Utilities—Regulated Electric
BTOW3.SA,-0.338,-307.9655,,5.5216694,5.241812,140.639,,1.350457,9538860331.392,Internet Retail
BT-A.L,15.2,8.878289,,0.60754764,89.66777,5.1,,0.783452,14925160033.279999,Telecom Services
BX,1.128,57.650707,1.72,9.853017,7.373016,,0.0294,1.327205,5944733061.12,Asset Management
CRFB3.SA,1.19,16,,0.5596014,2.5574212,9.248,0.012999999,0.385047,14779814000.0,Food Distribution
FICO,7.9,62.80506,3.24,11.152314,43.60313,41.168,,1.182247,331108417.8,Software—Application
CSAN3.SA,2.621,29.3781,,2.2325373,2.780185,13.369,0.0195,1.205097,10592639634.432001,Oil & Gas Refining & Marketing
FB,8.778,31.27136,1.72,9.90004,6.6450415,24.4,,1.182773,99305598712.832,Internet Content & Information
FFHL,-1.343,,,,0.9891643,,,1.148634,30440894.64,Packaging & Containers
FERG.L,423.5,21.553719,,0.94147795,466.97702,12.52,0.029000001,0.957099,4398954458.624001,Industrial Distribution
DOL.TO,1.822,28.30406,2.01,4.024183,61.174377,19.412,0.0036000002,0.954455,262325576.25599998,Discount Stores
ENGI11.SA,0.919,51.860718,,0.60708106,12.618481,26.882,0.0128,1.569494,0.0,Utilities—Renewable
EL,1.665,150.04805,2.86,6.4708858,20.284996,35.743,0.0085,0.864495,2790042008.0,Household & Personal Products
DOC,0.441,41.292515,6.06,8.767264,1.4330684,19.394,0.0505,0.751575,2645978610.0,REIT—Healthcare Facilities
CMCSA,2.23,21.829596,3.26,2.1363842,2.5845501,10.088,0.0189,1.004201,85998346183.68001,Entertainment
CTVA,-1.28,23.629215,2.53,2.2393608,1.2951901,14.152,0.0124,,24193649583.999996,Agricultural Inputs
CMG,8.362,178.68692,5.04,7.1869593,23.15338,80.381,,1.310399,1805680680.2000003,Restaurants
CPRX,0.67,5.373134,,3.157314,2.382528,6.034,,1.530462,156612128.0,Biotechnology
FIZZ,3.45,28.533333,0.96,4.371462,8.155759,18.759,,1.367647,563006357.0,Beverages—Non-Alcoholic
DJCO,2.927,116.15989,,9.400004,3.3120646,464.52,,0.721638,141740891.25,Publishing
CGIX,-2.071,-70.16667,,2.717509,2.1961398,-5.502,,2.785714,7831520.100000001,Biotechnology
CSU,-130.087,-3.6053336,-0.01,0.14209336,,24.818,,2.481617,-263447578.8,Medical Care Facilities
DIS,-1.588,36.22222,2.48,4.793966,3.7416084,38.228,,1.199579,83778896802.304,Entertainment
CNQ,2.308,10.545927,5.91,,1.1755047,,0.0546,2.271947,24455027697.408,Oil & Gas E&P
DPZ,11.685,32.551987,2.02,3.8317027,,26.124,0.0082,0.381827,-3212155647.3,Restaurants
FMC,3.822,29.945053,1.82,3.1683493,5.0436277,14.051,0.0168,0.997899,2944445844.0,Agricultural Inputs
DAL,-19.49,10.38961,0.73,1.4922117,18.77053,-26.309,,1.45063,1359011188.096,Airlines
BURL,-2.53,37.09559,-12.24,2.941469,57.93523,-454.059,,0.747899,288409830.8,Apparel Retail
EMN,3.462,30.681688,4.68,1.6944666,2.3677583,12.365,0.025999999,1.548844,6077229948.0,Chemicals
CLR,-0.856,82.695656,1.37,2.5253205,1.1173776,6.845,,3.373949,6217012875.648,Oil & Gas E&P
F,-0.041,11.076924,-41.66,0.35010746,1.3836176,29.942,,1.273634,32534510280.704002,Auto Manufacturers
CNC,3.772,16.306997,1.23,0.37247124,1.386172,7.538,,0.548319,25727957161.984,Healthcare Plans
DB,-1.123,17.285715,302.94,,0.28701702,,,1.409601,78330121347.072,Banks—Regional
EDU,2.362,71.59611,1.46,8.002997,5.8001785,55.08,,0.957457,4961359896.0,Education & Training Services
DLR,2.174,64.60902,7.74,11.082142,2.3517003,30.604,0.0319,0.11292,16733414477.184,REIT—Office
CORE,1.33,25.278194,5.6,0.111665204,2.450616,13.469,0.0155,0.382352,616278058.5,Food Distribution
CCJ,-0.105,28.113636,6.42,,1.3473479,,0.0050999997,0.650825,3634262272.8959994,Uranium
FCN,4.875,23.881025,2.59,1.7036868,2.7671611,13.689,,0.411239,1500359042.4,Consulting Services
