Ticker,EPS,PE,PEG,PS,PB,VEBITDA,Dividend Yield,Beta,Book Value,Industry
REGN,27.286,19.70901,1.6,6.2080765,5.6012335,16.849,,0.298319,10067425427.0,Biotechnology
RBA,1.569,40.17846,5.2,5.2476563,7.1865025,23.484,0.0139999995,1.134453,962393664.0,Specialty Business Services
NOV,-6.734,-49.666664,-2.58,0.7391568,0.9527531,28.351,,2.222163,5464815800.0,Oil & Gas Equipment & Services
MVR.L,-1.2,,,322.86658,471.42856,-2.875,,1.351337,17564890.112,Entertainment
RF,1.03,17.2233,-1.01,3.4372153,1.0349454,,0.0349,,16462971152.512,Banks—Regional
PCG,-5.763,9.606558,2.7,1.2597033,1.1175741,10.893,,1.304621,20812185422.208,Utilities—Regulated Electric
MGLU3.SA,0.05,519.8,,6.588533,22.81826,178.129,0.0023,0.983671,7361801446.912,Specialty Retail
MSFT,6.199,36.44943,2.28,11.612049,13.850917,24.273,0.0099,0.826155,123334440154.11198,Software—Infrastructure
SFIX,-0.559,-692.2857,-22.24,5.7832966,23.679453,-214.096,,2.454904,257459523.2,Specialty Retail
MOV,-5.968,10.23,2.33,0.91425705,1.2188002,19.859,0.019299999,1.060924,278415752.4,Luxury Goods
ROLL,4.301,42.9621,4.5,6.9675074,3.9134212,25.707,,1.404411,1185203360.3999999,Tools & Accessories
PEP,5.05,27.443563,4.17,2.7936728,14.215817,18.001,0.0295,0.582457,13472727416.064001,Beverages—Non-Alcoholic
PRU,-0.238,7.0615387,2.12,0.5437604,0.4933863,51.865,0.0533,1.704831,66312180000.00001,Insurance—Life
RAD,-7.415,47.09524,-9.25,0.045793403,1.7900453,12.695,,1.001575,610229620.0,Pharmaceutical Retailers
RIO,4.407,18.470615,,2.4278831,3.3562858,7.879,0.047399998,0.635852,30241064923.904,Other Industrial Metals & Mining
MNDI.L,161.8,11.31026,,,238.68529,,0.0379,0.764555,3722742395.328,Paper & Paper Products
MRK,4.528,17.884277,1.81,4.32724,7.0191565,11.909,0.0321,0.443277,29188957032.960003,Drug Manufacturers—General
RELIANCE.NS,65.388,31.345201,,3.0189946,2.6794643,17.154,0.0032,,5172503455268.864,Oil & Gas Refining & Marketing
OKE,1.46,29.342464,-10.38,2.204675,3.0976138,13.565,0.087299995,1.954306,6146010399.36,Oil & Gas Midstream
RAIL3.SA,0.312,66.82692,,5.546142,2.5769374,16.023,,0.42127,14997719941.631998,Railroads
MDIA3.SA,2.417,12.465866,,1.4056762,1.566171,10.069,0.0147,0.835523,6502482168.191999,Packaged Foods
SBSP3.SA,1.754,23.36374,,1.5905851,1.2909933,6.639,0.0342,0.825567,21696658437.888,Utilities—Regulated Water
PCAR,4.1,24.109756,-34.45,1.776491,3.3612158,18.399,0.0128999995,1.023109,10179895705.727999,Farm & Heavy Construction Machinery
RR.L,-301.7,0.038981445,,0.5929546,,-4.663,,1.658835,-35495359742.976,Aerospace & Defense
SINA,-1.455,15.222616,8.57,1.2268214,1.0954864,7.208,,0.993697,2349027752.5,Internet Content & Information
NCTY,-1.28,,,,,,,1.999474,-47922921.27,Electronic Gaming & Multimedia
NXT.L,256.8,30.817759,,2.9706883,2582.8982,19.688,,1.128702,407355736.0,Apparel Retail
NVS,3.087,31.3897,1.93,4.4504743,4.0452533,13.607,0.0319,0.539325,54483375299.584,Drug Manufacturers—General
PLOW,-4.102,23.852459,2.93,2.0687258,5.311511,21.688,0.0257,0.879201,187842935.0,Auto Parts
PZZA,0.821,120.36541,8.11,1.8492067,,26.957,0.0091,1.02521,-292417822.8,Restaurants
MSEX,2.179,33.887104,12.6,9.233382,3.7704246,28.159,0.0143,0.23792,341541043.2,Utilities—Regulated Water
OPY,4.978,6.5046206,,0.38502935,0.6581167,,0.0148,1.156512,613295385.1,Capital Markets
NTCO3.SA,-0.716,,,2.2928305,2.5132465,51.691,,,26982808194.048,Household & Personal Products
PSA,6.49,34.328197,1.97,13.201562,8.109712,23.761,0.0359,0.080357,4802709984.0,REIT—Industrial
NGS,0.144,60.13889,-1.73,1.6482464,0.45385462,4.216,,2.21376,256998172.79999998,Oil & Gas Equipment & Services
MKC,2.825,32.520355,6.68,4.4346113,6.233123,23.961,0.0148,0.4375,3665530344.0,Packaged Foods
PSSA3.SA,5.112,9.657668,,0.79458314,1.7914943,0.835,0.0427,0.806849,8874089590.464,Insurance—Diversified
RADL3.SA,0.247,101.376526,,2.14021,9.897234,33.751,0.0045,0.452011,4173108459.5199995,Pharmaceutical Retailers
PNC,16.972,8.989512,-9.56,4.7129307,1.197736,,0.030199999,1.362394,54009968000.0,Banks—Regional
PBH,3.21,11.862928,2.92,1.988273,1.4943882,10.128,,0.755777,1276745031.6,Medical Distribution
MULT3.SA,1.594,12.785445,,10.569204,1.8972259,17.36,0.0293,0.917562,5992564088.192,Real Estate Services
PLNT,0.075,1057.7333,100.58,16.161983,,56.114,,1.278886,-731590659.968,Leisure
NP,-0.624,18.672413,5.18,1.1383085,2.4790552,10.757,0.0343,1.487394,367014823.2,Paper & Paper Products
RENT3.SA,1.158,58.298794,,4.8921533,8.85958,36.401,0.005,1.303464,5727732837.12,Rental & Leasing Services
SDR.L,162.4,21.428572,,3.6094582,249.40872,6.711,0.0323,1.227272,3153378000.0,Asset Management
PYPL,2.65,95.09434,2.8,14.545833,15.979708,72.163,,1.116071,18477551047.68,Credit Services
ONB,1.36,13.316176,1.59,3.8484375,1.0074544,,0.031600002,1.016281,2972637335.808,Banks—Regional
SEIC,2.983,19.91284,1.72,5.162097,4.962821,16.671,0.0125,1.198529,1730358330.0,Asset Management
PG,5.292,24.565382,2.57,4.3274403,6.7683654,16.37,0.024300002,0.375525,47296850901.504005,Household & Personal Products
PETR4.SA,-3.421,8.795455,,1.252,1.42639,6.165,0,1.992433,106392617582.59201,Oil & Gas Integrated
SAVE,-2.464,-17.293749,0.07,1.1847199,1.1242484,-16.894,,1.594012,2404058418.048,Airlines
QSR,1.844,32.581345,1.13,3.6087081,7.7924776,17.042,0.0346,1.199579,2342891608.32,Restaurants
OZK,2.26,15.911504,1.04,5.8944526,1.0887402,,0.0305,1.880252,4271574512.0000005,Banks—Regional
SBRY.L,-0.2,0.11598303,,0.18978862,75.69231,6.947,0.026500002,0.388165,7228617344.0,Grocery Stores
SFM,2.119,10.103823,0.68,0.405222,3.1255474,8.225,,0.284138,807957500.0,Grocery Stores
OTB.L,-27.7,0.17504698,,17.404814,384.81406,-14.731,,2.469356,152422240.25599998,Travel Services
RBGLY,2.4296,7.1863675,,,3.3922672,,0.0215,0.115934,18342260960.0,Household & Personal Products
SGE.L,28.1,21.601423,,3.4961667,401.45505,12.238,0.0377,0.494382,1657272960.0,Software—Application
NTES,6.669,17.507872,157.04,,2.2745602,,0.007900001,0.610294,35187130486.656,Internet Content & Information
SBUX,0.79,131.53165,0.75,5.18578,,45.996,0.0173,0.816701,-7804791387.136001,Restaurants
RIO,4.407,18.470615,,2.4278831,3.3562858,7.879,0.047399998,0.635852,30241064923.904,Other Industrial Metals & Mining
RLH,-0.921,-7.229167,-0.14,1.313101,0.68726486,-7.216,,1.699579,128571270.30000001,Lodging
NFG,-1.41,9.697674,1.36,2.4531384,1.9233431,8.459,0.0429,0.667542,1971980265.0240002,Oil & Gas Integrated
MDC,4.788,11.645781,0.63,0.9567472,1.8193682,10.308,0.0287,1.529936,1988049945.6,Residential Construction
REV,-6.741,-3.688406,-0.63,0.27460974,,43.197,,2.716386,-1582979741.1000001,Household & Personal Products
