Ticker,EPS,PE,PEG,PS,PB,VEBITDA,Dividend Yield,Beta,Book Value,Industry
BCE,2.294,18.75763,7.58,,3.0569763,,0.0612,0.285808,12729320928.0,Telecom Services
ASH,-8.379,17.443993,1.05,2.2331746,1.7209163,15.306,0.0127,1.342436,3018371328.0,Specialty Chemicals
ATD-B.TO,2.48,15.30242,4.76,0.90896314,3.5434175,10.752,0.0092,0.838283,9201443207.04,Grocery Stores
ANET,8.938,34.818752,5.4,10.59906,7.6323724,28.351,,1.207983,3085097825.6,Computer Hardware
0386.HK,0.530812,7.460268,,,4.370861,,0.0863,1.057201,23115140689.920002,Oil & Gas Integrated
3311.HK,1.0721,4.309299,,0.37546098,0.45548654,6.795,0.0714,0.797752,51213631827.456,Engineering & Construction
ATV,3.811,5.474941,,1.4434074,0.8144982,88.907,,0.474264,65860026.150000006,Internet Retail
BNS,5.124,10.636222,2.6,,1.42101,,0.0521,0.869306,46461975403.648,Banks—Diversified
0JT5.L,17.599,31.801521,,7.6036553,14.933029,23.641,,1.341386,5816103956.832,
BNFT,-1.025,-99.928566,-1.44,1.6143692,,121.977,,1.781512,-53679567.1,Software—Application
AV.L,54.9,6.3588343,,0.3685863,73.8055,1.672,0.0602,1.241573,18581757624.320004,Insurance—Diversified
AEP,3.862,21.253237,3.06,2.730097,2.0003898,13.678,0.0361,0.214285,20367875136.511997,Utilities—Regulated Electric
BBBY,-1.824,23.06107,-0.33,0.37671173,2.587137,18.245,0.17940001,2.122899,1415427555.0,Specialty Retail
AMGN,12.399,20.445196,2.33,5.906265,13.497684,13.403,0.0278,0.761554,10933716439.744,Drug Manufacturers—General
ASGN,3.467,26.077301,1.93,1.2064093,3.1319501,14.074,,2.217962,1527064300.0,Staffing & Employment Services
AAL,-14.003,-2.5891979,0.02,0.39243135,,-7.236,,1.824579,-6638502779.904,Airlines
AWK,3.65,44.08493,5,7.7658353,4.4791784,20.77,0.0137,0.184348,6512015328.0,Utilities—Regulated Water
0857.HK,0.279375,9.055929,,,2.5024726,,0.0571,0.839121,21330987350.016,Oil & Gas Integrated
